AÑO,PERIODO,FECHA ENVIO,CODIGO ENTIDAD,ENTIDAD,CODIGO LINEA,LINEA INTERVENCION,CODIGO SERVICIO,NOMBRE SERVICIO,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO CENTRO ATENCION,NOMBRE CENTRO ATENCION,N° DE CEM,N° CASOS ATENDIDOS-TOTAL,N° CASOS ATENDIDOS - HOMBRES - TOTAL,N° CASOS ATENDIDOS - MUJERES - TOTAL,N° CASOS ATENDIDOS - VIOLENCIA PSICOLOGICA,N° CASOS ATENDIDOS - VIOLENCIA FISICA,N° CASOS ATENDIDOS - VIOLENCIA SEXUAL,N° CASOS ATENDIDOS - VIOLENCIA ECONÓMICA O PATRIMONIAL,N° CASOS ATENDIDOS - 0_5 - TOTAL,N° CASOS ATENDIDOS - 0_5 - HOMBRES,N° CASOS ATENDIDOS - 0_5 - MUJERES,N° CASOS ATENDIDOS - 6_11 - TOTAL,N° CASOS ATENDIDOS - 6_11 - HOMBRES,N° CASOS ATENDIDOS - 6_11 - MUJERES,N° CASOS ATENDIDOS - 12_17 - TOTAL,N° CASOS ATENDIDOS - 12_17 - HOMBRES,N° CASOS ATENDIDOS - 12_17 - MUJERES,N° CASOS ATENDIDOS - 18_25 - TOTAL,N° CASOS ATENDIDOS - 18_25  - HOMBRES,N° CASOS ATENDIDOS - 18_25 - MUJERES,N° CASOS ATENDIDOS - 18_29 - TOTAL,N° CASOS ATENDIDOS - 18_29  - HOMBRES,N° CASOS ATENDIDOS - 18_29 - MUJERES,N° CASOS ATENDIDOS - 26_35 - TOTAL,N° CASOS ATENDIDOS - 26_35 - HOMBRES,N° CASOS ATENDIDOS - 26_35 - MUJERES,N° CASOS ATENDIDOS - 36_45 - TOTAL,N° CASOS ATENDIDOS - 36_45 - HOMBRES,N° CASOS ATENDIDOS - 36_45 - MUJERES,N° CASOS ATENDIDOS - 30_59 - TOTAL,N° CASOS ATENDIDOS - 30_59 - HOMBRES,N° CASOS ATENDIDOS - 30_59 - MUJERES,N° CASOS ATENDIDOS - 46_59 - TOTAL,N° CASOS ATENDIDOS - 46_59 - HOMBRES,N° CASOS ATENDIDOS - 46_59 - MUJERES,N° CASOS ATENDIDOS - 60_MÁS - TOTAL,N° CASOS ATENDIDOS - 60_MÁS - HOMBRES,N° CASOS ATENDIDOS - 60_MÁS - MUJERES,N° DE ACTIVIDADES - TOTAL
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,30101,APURÍMAC,ABANCAY,ABANCAY,CEM001,ABANCAY,1.0,171,13.0,158,129,36,6.0,0.0,1.0,1.0,0.0,13.0,8.0,5.0,13.0,2.0,11.0,,,,49.0,2.0,47.0,,,,,,,83,0.0,83,,,,12.0,0.0,12.0,"8,992"
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,90201,HUANCAVELICA,ACOBAMBA,ACOBAMBA,CEM002,ACOBAMBA,1.0,188,35.0,153,62,94,28.0,4.0,17.0,10.0,7.0,40.0,15.0,25.0,23.0,4.0,19.0,,,,36.0,2.0,34.0,,,,,,,67,3.0,64,,,,5.0,1.0,4.0,"7,908"
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,100201,HUÁNUCO,AMBO,AMBO,CEM003,AMBO,1.0,202,24.0,178,74,96,32.0,0.0,9.0,6.0,3.0,19.0,7.0,12.0,32.0,7.0,25.0,,,,57.0,0.0,57.0,,,,,,,75,2.0,73,,,,10.0,2.0,8.0,"23,811"
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,CEM004,ANDAHUAYLAS,1.0,292,45.0,247,216,61,15.0,0.0,10.0,5.0,5.0,39.0,22.0,17.0,36.0,9.0,27.0,,,,62.0,3.0,59.0,,,,,,,132,4.0,128,,,,13.0,2.0,11.0,"5,125"
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,30301,APURÍMAC,ANTABAMBA,ANTABAMBA,CEM005,ANTABAMBA,1.0,176,65.0,111,124,52,0.0,0.0,25.0,15.0,10.0,52.0,34.0,18.0,23.0,10.0,13.0,,,,23.0,2.0,21.0,,,,,,,48,3.0,45,,,,5.0,1.0,4.0,"10,171"
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,200201,PIURA,AYABACA,AYABACA,CEM006,AYABACA,1.0,194,21.0,173,77,84,33.0,0.0,5.0,3.0,2.0,19.0,8.0,11.0,39.0,4.0,35.0,,,,40.0,1.0,39.0,,,,,,,82,3.0,79,,,,9.0,2.0,7.0,"3,476"
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,50101,AYACUCHO,HUAMANGA,AYACUCHO,CEM007,HUAMANGA,1.0,344,15.0,329,211,104,29.0,0.0,3.0,0.0,3.0,15.0,4.0,11.0,25.0,4.0,21.0,,,,100.0,1.0,99.0,,,,,,,171,5.0,166,,,,30.0,1.0,29.0,"5,485"
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,10201,AMAZONAS,BAGUA,BAGUA,CEM008,BAGUA,1.0,331,46.0,285,149,149,33.0,0.0,23.0,11.0,12.0,53.0,17.0,36.0,53.0,7.0,46.0,,,,66.0,2.0,64.0,,,,,,,116,3.0,113,,,,20.0,6.0,14.0,"10,014"
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,CEM009,CAJAMARCA,1.0,221,21.0,200,115,90,16.0,0.0,17.0,5.0,12.0,44.0,10.0,34.0,44.0,3.0,41.0,,,,48.0,0.0,48.0,,,,,,,58,1.0,57,,,,10.0,2.0,8.0,"4,898"
2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,70101,CALLAO,CALLAO,CALLAO,CEM010,CALLAO,1.0,643,133.0,510,288,274,81.0,0.0,71.0,35.0,36.0,95.0,37.0,58.0,101.0,23.0,78.0,,,,98.0,2.0,96.0,,,,,,,226,16.0,210,,,,52.0,20.0,32.0,"21,813"
